"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence",,"Clinical Guidelines","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence",,"Diagnostics Assessment Programme","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Commissioned Content","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","NICE International","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Patient and Public Involvement Unit","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","IT","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Accreditation","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Operations","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Patient Access Scheme Liaison Unit","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Centre for Public Health Excellence","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Quality Systems","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Corporate Office","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Impact & Evaluation","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Development & Release","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Search & Sources","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Scientific Advice","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Topic Selection","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Costing & Commissioning","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Medical Technologies","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Field Team","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Information Services","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","EGAP and Pathways","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Finance","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Human Resources","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","User Research","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Design","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Short Clinical Guidelines","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Implementation Support Team","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","National Prescribing Centre","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Editorial and Publishing","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Fellows Programme","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Development & Transition","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Marketing & Comms","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Evidence Resources","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Facilities","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Engagement & Management","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Research & Development","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Communications","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Technology Appraisals","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle","National Institute for Health and Clinical Excellence","Organization","Interventional Procedures","Department of Health","http://reference.data.gov.uk/id/department/dh"
