"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor",,"Executive office","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor",,"Communications & Public Affairs Team","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Legislative Support and Policy Research Workstream","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Licensing Workstream","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Competition Workstream","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Build Workstream","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Regulatory Operations Directorate","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Legal Services Directorate","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Strategy Directorate","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Programme Management Office","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Human Resources & Corporate Services Directorate","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Pricing Workstream","Department of Health","http://reference.data.gov.uk/id/department/dh"
"http://reference.data.gov.uk/id/public-body/monitor","Monitor","Organization","Continuity of Service Workstream","Department of Health","http://reference.data.gov.uk/id/department/dh"
