"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills",,"Safeguarding and RegulationSafeguarding and regulation","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills",,"Complaints","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Business and Publications","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Directorate Support Services","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Legal Services","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Technical Development Unit","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Delivery, Performance and Support (Midlands)","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Delivery, Performance and Support (North)","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Children's Services Assessment","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Information Services","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Finance","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","National Business Unit","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Education and Care","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","North Inspection","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Strategic Performance and Policy","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Moving Forward","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Property","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Procurement","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Delivery Wide Management and Monitoring Team","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Children's Right Team","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Human resources and Organisational DevelopmentHuman Resources and Organisational Development","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Delivery, Performance and Support (South)","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Quality Assurance","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Inspection Data and Insight","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Communications","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Midlands Inspection","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Early Years Development","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Learning and Skills","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","South Inspection","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","National Scheduling","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Social Care Remit","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Knowledge and Dissimination","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/office-for-standards-in-education-childrens-servic","Office for Standards in Education, Children's Services and Skills","Organization","Public Involvement","Department for Education","http://reference.data.gov.uk/id/department/dfe"
